6. Population résidante permanente par classe d'âges quinquennale, sexe, origine, district et commune, Vaud, 2017-2022

Page by:
Année: 2022
Sexe: Total
Origine: Total


"District (actuel)","Metrics",,"Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12"
 ,"Commune d'annonce (actuelle)",,"Total","0 à 4 ans","5 à 9 ans","10 à 14 ans","15 à 19 ans","20 à 24 ans","25 à 29 ans","30 à 34 ans","35 à 39 ans","40 à 44 ans","45 à 49 ans","50 à 54 ans","55 à 59 ans","60 à 64 ans","65 à 69 ans","70 à 74 ans","75 à 79 ans","80 à 84 ans","85 à 89 ans","90 à 94 ans","95 à 99 ans","100 ans et +"
"Total","",,"830,791","43,236","44,775","45,815","47,356","51,087","55,085","62,013","59,874","60,013","59,117","59,134","57,697","46,659","35,835","32,209","30,066","19,998","12,534","6,344","1,709","235"
"Aigle","Aigle","5401","10,937","656","630","593","587","661","751","876","745","701","699","712","786","621","533","417","432","277","149","93","15","3"
"Aigle","Bex","5402","8,151","462","514","506","418","439","502","597","589","512","523","547","563","502","388","323","304","220","149","68","22","3"
"Aigle","Chessel","5403","528","36","31","31","23","30","44","47","41","32","37","30","35","34","20","23","13","12","6","3","0","0"
"Aigle","Corbeyrier","5404","440","7","18","27","20","12","10","13","28","33","35","22","43","23","38","33","33","27","12","3","3","0"
"Aigle","Gryon","5405","1,389","68","78","46","78","62","53","75","88","99","107","96","118","100","101","75","72","50","17","5","1","0"
"Aigle","Lavey-Morcles","5406","979","51","65","59","48","41","55","85","68","61","61","66","63","67","61","50","37","26","6","7","2","0"
"Aigle","Leysin","5407","3,743","117","147","207","510","483","182","175","219","247","215","242","236","207","171","134","125","71","35","16","3","1"
"Aigle","Noville","5408","1,169","68","68","86","56","61","52","72","87","83","71","78","112","65","71","45","47","27","12","7","1","0"
"Aigle","Ollon","5409","7,967","302","373","591","854","420","352","429","463","439","532","567","635","511","425","410","330","163","112","48","10","1"
"Aigle","Ormont-Dessous","5410","1,178","60","56","62","57","40","45","79","88","84","81","88","93","90","88","54","57","35","10","9","1","1"
"Aigle","Ormont-Dessus","5411","1,425","59","68","55","46","66","52","74","94","107","89","85","108","111","108","104","91","50","36","18","3","1"
"Aigle","Rennaz","5412","929","49","62","56","58","53","58","75","66","65","69","49","67","57","45","36","26","17","13","7","1","0"
"Aigle","Roche","5413","1,940","125","155","128","110","103","141","117","173","170","127","111","135","81","78","61","64","34","13","10","4","0"
"Aigle","Villeneuve","5414","5,979","352","327","345","309","367","387","441","436","404","413","375","437","356","291","251","211","129","83","51","13","1"
"Aigle","Yvorne","5415","1,088","44","68","63","46","51","55","68","83","79","74","90","88","68","73","46","42","25","15","8","2","0"
"Broye-Vully","Avenches","5451","4,696","270","301","275","233","267","303","349","355","294","350","321","324","287","183","219","166","102","57","34","6","0"
"Broye-Vully","Cudrefin","5456","1,876","98","102","123","105","78","78","136","140","159","144","153","147","123","83","75","62","39","21","9","1","0"
"Broye-Vully","Faoug","5458","903","44","45","44","43","47","46","53","70","60","62","82","87","79","47","39","30","11","11","3","0","0"
"Broye-Vully","Vully-les-Lacs","5464","3,540","214","227","179","149","149","180","250","285","277","211","263","272","223","189","172","141","74","48","31","5","1"
"Broye-Vully","Bussy-sur-Moudon","5663","246","15","14","14","14","8","4","22","19","16","17","18","18","23","8","18","13","2","0","2","1","0"
"Broye-Vully","Chavannes-sur-Moudon","5665","218","8","9","11","11","15","10","15","13","15","14","17","18","13","10","13","13","7","4","2","0","0"
"Broye-Vully","Curtilles","5669","294","14","9","17","16","16","13","26","20","7","26","29","19","22","19","15","10","6","3","5","1","1"
"Broye-Vully","Dompierre","5671","248","20","16","8","10","7","15","15","10","14","15","18","26","27","19","9","10","2","2","4","1","0"
"Broye-Vully","Hermenches","5673","374","16","16","18","21","19","28","20","17","26","26","39","34","23","17","19","18","5","9","2","1","0"
"Broye-Vully","Lovatens","5674","143","6","3","10","8","4","17","13","10","8","7","11","15","3","9","7","8","1","2","1","0","0"
"Broye-Vully","Lucens","5675","4,420","295","266","292","266","251","285","345","321","265","318","324","270","254","180","183","134","84","50","26","11","0"
"Broye-Vully","Moudon","5678","6,132","383","409","421","386","367","389","427","433","478","440","415","424","311","230","190","180","107","73","52","15","2"
"Broye-Vully","Prévonloup","5683","220","18","14","10","10","15","9","28","14","11","10","13","12","11","13","13","9","7","1","1","1","0"
"Broye-Vully","Rossenges","5684","93","7","4","5","1","8","6","10","12","5","9","5","4","2","3","1","4","3","2","1","1","0"
"Broye-Vully","Syens","5688","164","7","13","7","8","9","16","9","11","10","9","8","13","12","9","10","6","2","2","2","1","0"
"Broye-Vully","Villars-le-Comte","5690","138","5","9","6","7","5","7","10","6","7","8","11","12","14","9","8","4","3","3","4","0","0"
"Broye-Vully","Vucherens","5692","637","50","39","38","29","42","26","51","51","30","57","41","50","44","22","24","19","10","11","2","1","0"
"Broye-Vully","Corcelles-le-Jorat","5785","485","25","27","28","24","37","28","33","26","32","26","29","40","36","31","23","19","13","5","3","0","0"
"Broye-Vully","Ropraz","5798","529","47","36","32","18","27","32","49","52","44","29","29","33","23","28","18","15","14","3","0","0","0"
"Broye-Vully","Vulliens","5803","632","47","50","34","32","26","41","68","52","53","30","32","43","44","27","17","15","10","6","3","2","0"
"Broye-Vully","Champtauroz","5812","169","16","14","9","12","11","9","17","15","6","12","9","8","11","5","6","1","3","3","2","0","0"
"Broye-Vully","Chevroux","5813","522","34","32","28","21","32","29","25","33","37","29","45","40","37","32","25","22","11","7","3","0","0"
"Broye-Vully","Corcelles-près-Payerne","5816","2,856","201","168","159","154","218","222","215","192","178","186","212","174","150","112","104","88","68","27","25","3","0"
"Broye-Vully","Grandcour","5817","1,001","68","61","64","55","53","56","67","60","84","68","73","60","67","35","47","34","28","17","4","0","0"
"Broye-Vully","Henniez","5819","414","38","24","31","27","25","32","37","36","21","27","21","16","20","17","19","10","7","5","0","1","0"
"Broye-Vully","Missy","5821","387","30","23","29","20","21","20","23","19","34","23","28","20","21","16","21","20","6","7","5","1","0"
"Broye-Vully","Payerne","5822","10,372","624","614","628","593","685","709","729","690","681","733","729","701","565","461","416","345","243","134","70","18","4"
"Broye-Vully","Trey","5827","302","12","16","24","23","14","12","24","18","14","24","28","28","18","17","12","8","4","4","2","0","0"
"Broye-Vully","Treytorrens","5828","105","7","3","6","6","4","2","10","5","5","13","8","8","5","8","6","4","3","0","1","1","0"
"Broye-Vully","Villarzel","5830","486","38","33","33","21","17","25","33","42","33","22","33","39","41","19","18","13","11","6","7","2","0"
"Broye-Vully","Valbroye","5831","3,361","223","201","202","165","166","185","267","238","223","195","219","208","239","180","150","122","88","60","25","5","0"
"Gros-de-Vaud","Bettens","5471","650","44","48","43","20","26","45","70","59","68","46","45","55","37","14","10","8","9","1","2","0","0"
"Gros-de-Vaud","Bournens","5472","514","40","23","33","35","23","32","34","49","41","36","43","31","22","18","22","13","12","6","1","0","0"
"Gros-de-Vaud","Boussens","5473","1,009","54","87","64","59","46","45","60","86","82","64","85","86","58","46","31","36","14","3","2","1","0"
"Gros-de-Vaud","Daillens","5480","1,057","58","76","81","59","49","37","64","85","103","94","70","73","54","66","43","16","16","6","5","2","0"
"Gros-de-Vaud","Lussery-Villars","5487","482","43","21","23","19","19","22","48","46","40","25","29","43","41","19","12","14","8","7","3","0","0"
"Gros-de-Vaud","Mex","5489","817","62","34","37","33","35","58","82","54","56","68","64","39","45","45","39","32","20","9","4","1","0"
"Gros-de-Vaud","Penthalaz","5495","3,214","161","194","195","153","171","207","222","246","206","264","213","220","177","134","118","126","78","58","56","12","3"
"Gros-de-Vaud","Penthaz","5496","1,923","118","111","143","110","105","110","128","122","170","170","145","122","101","63","65","72","41","17","8","2","0"
"Gros-de-Vaud","Sullens","5501","1,169","95","65","60","48","52","72","106","83","78","89","80","84","66","53","47","46","24","14","6","0","1"
"Gros-de-Vaud","Vufflens-la-Ville","5503","1,334","62","60","79","89","76","63","70","80","92","108","115","112","88","58","68","64","31","13","6","0","0"
"Gros-de-Vaud","Assens","5511","1,669","99","102","95","91","96","87","142","117","108","122","148","116","103","75","59","54","31","16","6","2","0"
"Gros-de-Vaud","Bercher","5512","1,359","79","82","93","98","70","89","89","88","69","110","101","99","86","63","44","46","27","18","8","0","0"
"Gros-de-Vaud","Bottens","5514","1,356","75","88","104","66","72","64","109","123","114","80","100","92","75","63","60","40","16","9","6","0","0"
"Gros-de-Vaud","Bretigny-sur-Morrens","5515","878","57","50","62","48","50","35","80","61","88","67","57","63","57","33","18","32","12","6","2","0","0"
"Gros-de-Vaud","Cugy","5516","2,697","118","146","199","206","173","128","141","151","175","232","231","216","146","94","103","106","70","45","15","2","0"
"Gros-de-Vaud","Echallens","5518","5,816","288","345","324","386","426","310","358","362","376","414","445","443","371","243","243","229","128","79","35","11","0"
"Gros-de-Vaud","Essertines-sur-Yverdon","5520","1,081","65","82","68","57","65","68","78","87","99","81","65","63","60","36","43","31","23","4","5","1","0"
"Gros-de-Vaud","Etagnières","5521","1,154","60","50","81","76","64","54","77","59","91","107","90","103","59","51","40","44","21","23","3","1","0"
"Gros-de-Vaud","Fey","5522","736","32","61","54","41","45","27","31","49","70","60","67","49","39","39","21","22","15","8","4","2","0"
"Gros-de-Vaud","Froideville","5523","2,720","151","189","191","170","133","152","190","189","219","226","192","197","132","117","104","82","44","29","9","4","0"
"Gros-de-Vaud","Morrens","5527","1,172","76","81","59","66","67","50","82","82","97","70","79","80","76","50","49","53","25","26","4","0","0"
"Gros-de-Vaud","Oulens-sous-Echallens","5529","606","20","43","43","37","22","28","45","34","51","62","47","51","27","23","31","26","10","4","1","1","0"
"Gros-de-Vaud","Pailly","5530","566","27","48","36","35","31","22","35","34","47","41","63","45","25","27","22","13","10","2","3","0","0"
"Gros-de-Vaud","Penthéréaz","5531","433","28","26","30","22","24","20","25","34","29","32","38","38","31","17","13","9","9","4","4","0","0"
"Gros-de-Vaud","Poliez-Pittet","5533","848","48","61","60","45","39","41","43","75","60","64","55","89","48","28","26","27","27","8","4","0","0"
"Gros-de-Vaud","Rueyres","5534","303","20","16","17","17","30","17","14","12","29","21","21","25","13","14","18","9","5","4","1","0","0"
"Gros-de-Vaud","Saint-Barthélemy","5535","814","54","46","40","42","55","46","56","64","55","59","67","59","53","42","29","24","7","10","4","2","0"
"Gros-de-Vaud","Villars-le-Terroir","5537","1,308","87","99","77","76","69","68","99","99","113","95","85","77","75","50","49","31","31","20","6","2","0"
"Gros-de-Vaud","Vuarrens","5539","1,106","69","84","81","86","51","65","69","89","99","95","95","66","44","38","28","30","10","2","4","1","0"
"Gros-de-Vaud","Montilliez","5540","1,895","116","101","123","107","118","110","164","114","129","149","151","137","108","82","76","58","27","9","15","1","0"
"Gros-de-Vaud","Goumoëns","5541","1,175","70","102","89","68","46","47","61","89","109","108","80","62","52","61","33","39","19","16","18","5","1"
"Gros-de-Vaud","Boulens","5661","383","23","25","23","18","16","19","39","36","25","19","22","32","25","14","16","14","12","3","1","1","0"
"Gros-de-Vaud","Ogens","5680","324","25","23","24","17","13","10","24","28","22","28","21","17","19","24","16","4","1","2","6","0","0"
"Gros-de-Vaud","Montanaire","5693","2,820","185","173","194","173","130","163","211","186","205","192","203","199","166","145","109","85","48","33","17","3","0"
"Gros-de-Vaud","Jorat-Menthue","5804","1,565","97","87","95","87","79","88","97","110","124","121","113","124","87","75","48","77","37","12","7","0","0"
"Gros-de-Vaud","Oppens","5923","202","8","12","13","7","11","10","12","15","14","10","15","21","23","8","9","5","3","3","2","1","0"
"Jura-Nord vaudois","Bonvillars","5551","501","17","24","32","32","20","20","19","26","36","47","38","46","34","32","32","21","12","8","5","0","0"
"Jura-Nord vaudois","Bullet","5552","651","22","31","25","29","28","32","41","34","38","38","43","57","56","38","45","45","29","17","2","1","0"
"Jura-Nord vaudois","Champagne","5553","1,077","55","48","75","75","65","58","78","69","76","102","84","80","51","63","35","35","11","13","3","1","0"
"Jura-Nord vaudois","Concise","5554","1,002","46","55","60","58","53","38","62","72","90","64","78","84","66","53","49","43","19","8","3","0","1"
"Jura-Nord vaudois","Corcelles-près-Concise","5555","412","29","23","19","22","12","21","41","28","29","30","16","20","26","37","14","16","9","7","7","5","1"
"Jura-Nord vaudois","Fiez","5556","436","20","20","35","34","30","18","19","28","35","32","40","31","28","22","12","17","10","2","2","0","1"
"Jura-Nord vaudois","Fontaines-sur-Grandson","5557","214","12","9","16","16","17","10","11","15","15","19","24","20","6","8","6","5","4","0","0","1","0"
"Jura-Nord vaudois","Giez","5559","450","30","18","20","25","24","20","34","44","29","24","39","37","26","21","19","14","11","10","5","0","0"
"Jura-Nord vaudois","Grandevent","5560","237","9","9","22","10","12","7","11","8","26","18","19","26","17","14","9","9","9","2","0","0","0"
"Jura-Nord vaudois","Grandson","5561","3,358","161","165","195","171","179","210","233","236","233","225","230","277","235","175","163","126","73","38","25","8","0"
"Jura-Nord vaudois","Mauborget","5562","138","7","6","5","4","3","5","8","11","7","6","10","7","13","13","12","15","4","2","0","0","0"
"Jura-Nord vaudois","Mutrux","5563","151","10","11","9","12","4","12","4","14","12","5","11","9","11","9","4","7","2","4","0","0","1"
"Jura-Nord vaudois","Novalles","5564","99","4","7","9","4","3","3","4","8","10","7","5","10","2","8","5","8","1","0","1","0","0"
"Jura-Nord vaudois","Onnens","5565","496","21","25","29","38","18","18","21","28","33","31","51","48","41","20","34","19","13","5","2","1","0"
"Jura-Nord vaudois","Provence","5566","403","19","20","13","8","22","33","36","23","18","22","27","38","34","19","22","21","18","4","3","3","0"
"Jura-Nord vaudois","Sainte-Croix","5568","4,869","166","224","267","221","258","259","277","271","307","295","347","382","321","329","283","304","177","108","57","14","2"
"Jura-Nord vaudois","Tévenon","5571","867","39","58","57","49","28","29","42","64","54","69","67","71","66","52","36","36","28","8","10","4","0"
"Jura-Nord vaudois","L'Abergement","5741","260","16","15","15","17","10","7","10","20","18","12","29","20","18","15","16","10","6","2","4","0","0"
"Jura-Nord vaudois","Agiez","5742","381","30","26","27","21","19","23","34","23","30","36","20","18","17","18","14","16","4","4","1","0","0"
"Jura-Nord vaudois","Arnex-sur-Orbe","5743","692","40","44","34","47","27","46","49","64","46","47","48","38","34","41","38","19","8","16","3","3","0"
"Jura-Nord vaudois","Ballaigues","5744","1,152","69","55","60","69","65","65","80","84","60","78","87","79","66","41","52","58","53","22","6","3","0"
"Jura-Nord vaudois","Baulmes","5745","1,132","68","59","45","59","68","98","88","76","78","66","75","75","74","66","49","41","25","17","3","2","0"
"Jura-Nord vaudois","Bavois","5746","1,009","55","67","40","48","69","76","78","90","96","56","83","79","53","48","24","24","14","6","3","0","0"
"Jura-Nord vaudois","Bofflens","5747","204","15","13","14","6","7","10","18","17","12","7","15","16","15","20","7","6","4","1","1","0","0"
"Jura-Nord vaudois","Bretonnières","5748","264","20","19","16","13","12","12","17","19","24","13","18","22","20","10","9","6","7","5","2","0","0"
"Jura-Nord vaudois","Chavornay","5749","5,405","346","319","322","327","368","389","451","393","393","399","391","353","288","189","178","158","78","38","19","5","1"
"Jura-Nord vaudois","Les Clées","5750","186","12","8","9","7","7","7","15","10","10","14","13","10","16","18","12","10","5","0","0","3","0"
"Jura-Nord vaudois","Croy","5752","386","18","16","13","18","22","14","26","27","26","18","34","30","19","23","19","23","11","13","11","5","0"
"Jura-Nord vaudois","Juriens","5754","346","25","20","17","7","14","25","42","22","14","17","22","28","24","19","19","15","10","3","2","1","0"
"Jura-Nord vaudois","Lignerolle","5755","447","33","25","29","21","24","27","31","39","28","21","33","33","26","27","21","13","8","3","3","2","0"
"Jura-Nord vaudois","Montcherand","5756","496","22","24","41","41","19","17","33","38","34","44","34","47","30","26","15","15","5","7","4","0","0"
"Jura-Nord vaudois","Orbe","5757","7,617","464","443","429","397","493","526","630","586","550","490","496","496","434","294","300","248","160","103","61","15","2"
"Jura-Nord vaudois","La Praz","5758","183","10","11","7","5","5","8","17","16","12","8","15","19","13","19","7","6","4","1","0","0","0"
"Jura-Nord vaudois","Premier","5759","236","11","19","18","9","0","9","11","14","29","16","13","7","19","25","10","15","5","3","3","0","0"
"Jura-Nord vaudois","Rances","5760","521","24","34","18","28","45","21","37","31","26","37","36","48","38","31","21","24","11","7","3","1","0"
"Jura-Nord vaudois","Romainmôtier-Envy","5761","559","26","33","33","34","22","21","26","40","49","50","36","35","48","32","33","20","10","7","3","1","0"
"Jura-Nord vaudois","Sergey","5762","140","7","4","13","10","10","6","10","7","10","14","10","12","10","8","3","3","2","0","1","0","0"
"Jura-Nord vaudois","Valeyres-sous-Rances","5763","606","23","42","44","31","24","36","32","42","50","48","43","40","42","40","28","17","9","7","7","1","0"
"Jura-Nord vaudois","Vallorbe","5764","3,987","233","250","225","207","203","271","269","263","295","258","290","271","244","212","151","142","95","65","36","6","1"
"Jura-Nord vaudois","Vaulion","5765","483","17","30","29","19","24","26","37","39","38","36","26","31","34","37","31","13","4","7","4","1","0"
"Jura-Nord vaudois","Vuiteboeuf","5766","592","33","31","34","36","36","48","47","39","40","31","43","53","35","34","24","13","8","2","3","1","1"
"Jura-Nord vaudois","L'Abbaye","5871","1,534","76","83","80","66","60","84","89","91","96","96","95","103","116","132","102","81","36","27","17","2","2"
"Jura-Nord vaudois","Le Chenit","5872","4,613","232","223","260","233","234","224","271","299","310","319","343","297","311","246","252","232","161","97","55","11","3"
"Jura-Nord vaudois","Le Lieu","5873","886","48","40","49","45","36","38","55","54","57","66","64","53","63","64","51","46","26","20","10","1","0"
"Jura-Nord vaudois","Belmont-sur-Yverdon","5902","434","27","24","36","16","20","16","30","40","33","40","31","35","33","16","14","11","4","5","2","1","0"
"Jura-Nord vaudois","Bioley-Magnoux","5903","247","16","24","7","6","8","10","19","19","20","10","16","10","19","23","17","11","3","5","2","2","0"
"Jura-Nord vaudois","Chamblon","5904","567","30","29","23","22","34","36","36","45","37","30","34","55","41","44","31","24","9","3","3","1","0"
"Jura-Nord vaudois","Champvent","5905","734","43","59","43","42","38","47","55","54","68","44","54","45","38","26","34","21","12","8","1","2","0"
"Jura-Nord vaudois","Chavannes-le-Chêne","5907","316","16","17","24","13","16","22","32","20","19","15","19","16","27","20","13","14","4","7","2","0","0"
"Jura-Nord vaudois","Chêne-Pâquier","5908","163","17","19","2","5","4","7","17","16","11","7","10","11","12","5","10","3","4","2","0","1","0"
"Jura-Nord vaudois","Cheseaux-Noréaz","5909","734","28","33","51","59","53","39","20","42","36","58","55","54","48","44","38","32","22","15","4","3","0"
"Jura-Nord vaudois","Cronay","5910","410","32","31","22","17","9","13","37","38","24","20","26","21","30","33","24","15","11","4","3","0","0"
"Jura-Nord vaudois","Cuarny","5911","236","13","17","10","11","7","12","24","19","14","11","16","24","14","17","13","5","6","2","0","1","0"
"Jura-Nord vaudois","Démoret","5912","167","24","13","4","1","6","12","14","22","6","3","5","13","12","15","5","4","3","1","4","0","0"
"Jura-Nord vaudois","Donneloye","5913","905","67","66","54","59","40","58","71","73","58","56","66","56","46","40","32","23","19","12","8","1","0"
"Jura-Nord vaudois","Ependes","5914","372","26","26","17","23","14","21","31","28","18","37","24","28","23","14","10","19","9","2","1","1","0"
"Jura-Nord vaudois","Mathod","5919","684","40","36","31","46","43","57","67","58","36","40","49","50","40","27","26","18","7","7","4","2","0"
"Jura-Nord vaudois","Molondin","5921","257","18","19","11","7","15","14","22","22","9","19","22","13","16","13","10","16","5","3","2","0","1"
"Jura-Nord vaudois","Montagny-près-Yverdon","5922","770","37","34","48","62","43","31","60","63","51","49","56","56","44","47","27","25","12","15","10","0","0"
"Jura-Nord vaudois","Orges","5924","407","27","29","28","19","26","33","32","35","38","30","25","21","23","11","9","14","3","4","0","0","0"
"Jura-Nord vaudois","Orzens","5925","212","13","7","14","8","12","13","15","8","15","12","10","14","25","12","11","8","3","9","3","0","0"
"Jura-Nord vaudois","Pomy","5926","868","56","63","57","53","64","32","67","59","69","51","86","58","36","39","18","32","10","12","6","0","0"
"Jura-Nord vaudois","Rovray","5928","197","15","25","9","9","5","6","15","17","22","16","11","6","8","8","9","11","4","1","0","0","0"
"Jura-Nord vaudois","Suchy","5929","671","37","45","55","41","37","43","47","51","75","53","53","41","24","26","15","13","10","3","2","0","0"
"Jura-Nord vaudois","Suscévaz","5930","220","16","12","16","17","7","12","8","15","15","15","15","13","12","8","12","17","4","4","1","1","0"
