6. Population résidante permanente par classe d'âges quinquennale, sexe, origine, district et commune, Vaud, 2017-2022
"Jura-Nord vaudois","Treycovagnes","5931","520","31","28","28","30","32","27","31","40","37","35","38","51","34","28","19","14","8","5","3","1","0"
"Jura-Nord vaudois","Ursins","5932","230","15","16","12","7","12","16","17","18","11","15","21","16","11","13","8","12","7","1","2","0","0"
"Jura-Nord vaudois","Valeyres-sous-Montagny","5933","703","27","46","39","35","37","37","38","41","41","49","43","73","62","36","36","28","17","11","7","0","0"
"Jura-Nord vaudois","Valeyres-sous-Ursins","5934","241","10","10","11","14","21","9","9","7","14","17","22","20","17","10","13","20","8","6","2","1","0"
"Jura-Nord vaudois","Villars-Epeney","5935","92","4","6","6","5","2","6","11","6","3","3","6","16","5","3","6","3","0","1","0","0","0"
"Jura-Nord vaudois","Vugelles-La Mothe","5937","137","8","7","13","9","6","4","7","11","7","8","16","14","8","8","3","2","4","2","0","0","0"
"Jura-Nord vaudois","Yverdon-les-Bains","5938","29,877","1,568","1,647","1,726","1,629","1,720","2,169","2,155","2,123","2,136","2,038","2,005","1,896","1,659","1,314","1,205","1,166","783","575","288","64","11"
"Jura-Nord vaudois","Yvonand","5939","3,531","174","195","237","206","203","199","248","206","240","245","233","263","219","171","149","151","83","50","43","16","0"
"Lausanne","Cheseaux-sur-Lausanne","5582","4,525","203","247","261","255","246","282","314","334","338","331","334","322","261","212","172","194","114","65","33","7","0"
"Lausanne","Epalinges","5584","9,825","459","564","557","644","878","578","625","577","708","677","638","663","552","441","353","387","244","176","87","16","1"
"Lausanne","Jouxtens-Mézery","5585","1,468","52","95","80","88","110","71","55","75","93","87","107","128","102","83","88","77","43","18","15","1","0"
"Lausanne","Lausanne","5586","141,513","7,088","6,786","6,412","7,110","9,597","13,021","14,185","12,251","10,865","9,642","9,028","8,368","6,817","5,073","4,376","4,122","3,089","2,137","1,150","354","42"
"Lausanne","Le Mont-sur-Lausanne","5587","9,297","572","642","620","549","472","561","673","699","813","695","637","581","413","307","288","325","205","143","82","18","2"
"Lausanne","Romanel-sur-Lausanne","5592","3,798","250","182","173","189","233","302","334","247","229","253","263","251","213","168","179","167","89","42","28","5","1"
"Lavaux-Oron","Belmont-sur-Lausanne","5581","3,835","196","198","247","261","211","172","233","257","292","294","315","321","253","175","122","141","77","47","19","4","0"
"Lavaux-Oron","Paudex","5588","1,550","85","62","83","55","58","91","126","129","117","115","100","101","90","63","93","91","50","22","15","4","0"
"Lavaux-Oron","Pully","5590","19,005","928","946","967","989","943","980","1,249","1,381","1,380","1,401","1,317","1,266","1,085","835","833","955","755","504","227","55","9"
"Lavaux-Oron","Chexbres","5601","2,204","95","96","140","137","101","97","130","144","155","163","159","177","116","108","89","107","78","56","41","13","2"
"Lavaux-Oron","Forel (Lavaux)","5604","2,067","138","117","127","91","100","74","127","176","152","166","143","171","130","96","103","83","44","23","4","2","0"
"Lavaux-Oron","Lutry","5606","10,713","534","539","507","525","510","497","690","726","724","755","790","800","696","543","541","545","352","239","143","46","11"
"Lavaux-Oron","Puidoux","5607","2,991","144","167","179","171","172","172","229","241","218","241","233","243","152","135","108","84","50","36","12","4","0"
"Lavaux-Oron","Rivaz","5609","332","17","13","7","12","25","19","24","25","18","15","32","32","24","13","10","14","17","11","3","1","0"
"Lavaux-Oron","St-Saphorin (Lavaux)","5610","402","15","24","19","27","28","15","31","29","35","38","39","24","12","16","19","17","6","7","1","0","0"
"Lavaux-Oron","Savigny","5611","3,421","155","204","196","177","203","142","200","235","225","253","251","251","248","190","180","137","92","53","23","3","3"
"Lavaux-Oron","Bourg-en-Lavaux","5613","5,389","261","237","289","281","255","232","347","316","378","428","397","436","373","297","293","266","156","96","37","13","1"
"Lavaux-Oron","Maracon","5790","544","30","29","41","28","23","24","39","34","40","42","35","45","45","37","19","18","8","5","2","0","0"
"Lavaux-Oron","Montpreveyres","5792","661","44","32","32","53","56","23","43","50","47","55","46","61","43","25","19","12","9","8","1","2","0"
"Lavaux-Oron","Servion","5799","2,136","129","135","117","129","93","98","121","149","166","167","157","174","143","106","79","86","46","26","10","5","0"
"Lavaux-Oron","Oron","5805","6,119","338","378","383","366","310","376","456","415","442","415","449","418","369","285","247","194","119","88","53","11","7"
"Lavaux-Oron","Jorat-Mézières","5806","3,110","166","192","203","196","181","159","165","236","246","223","239","208","173","177","131","95","66","37","15","1","1"
"Morges","Aubonne","5422","3,792","167","207","244","221","222","198","214","249","284","302","342","266","231","185","147","133","99","43","23","12","3"
"Morges","Ballens","5423","590","34","27","29","45","35","35","52","36","29","52","40","40","31","26","22","27","13","10","6","1","0"
"Morges","Berolle","5424","303","14","15","19","15","25","17","20","18","22","23","18","31","24","9","14","5","12","1","1","0","0"
"Morges","Bière","5425","1,683","81","90","106","95","100","112","103","115","122","141","127","106","93","68","68","72","38","25","12","8","1"
"Morges","Bougy-Villars","5426","506","19","21","26","33","31","26","33","27","24","33","49","49","33","29","26","25","13","7","2","0","0"
"Morges","Féchy","5427","887","49","52","57","66","43","33","45","51","64","71","90","76","49","33","39","41","17","5","4","2","0"
"Morges","Gimel","5428","2,414","151","178","128","131","127","134","180","173","161","205","164","140","123","106","114","82","45","39","27","6","0"
"Morges","Mollens","5431","324","18","15","9","10","23","26","22","25","27","16","17","40","34","10","9","11","5","6","1","0","0"
"Morges","Saint-Livres","5435","697","41","32","41","41","50","26","48","50","36","48","67","66","61","21","16","24","11","8","10","0","0"
"Morges","Saint-Oyens","5436","456","34","35","20","31","32","14","21","39","45","40","31","40","22","16","14","13","5","3","1","0","0"
"Morges","Saubraz","5437","449","28","21","40","38","31","14","31","33","40","38","47","25","19","9","16","9","4","5","1","0","0"
"Morges","La Chaux (Cossonay)","5474","412","10","27","29","25","25","11","27","24","30","36","37","28","19","38","16","19","9","1","0","1","0"
"Morges","Chavannes-le-Veyron","5475","163","17","15","10","4","4","12","14","12","15","9","5","13","7","12","9","5","0","0","0","0","0"
"Morges","Chevilly","5476","331","17","22","29","17","20","18","21","24","26","41","17","29","16","6","14","6","6","1","1","0","0"
"Morges","Cossonay","5477","4,389","279","222","252","225","290","363","373","328","288","299","331","292","224","179","178","115","89","42","17","3","0"
"Morges","Cuarnens","5479","545","47","34","29","21","29","43","45","40","42","32","35","33","35","26","22","11","10","7","3","1","0"
"Morges","Dizy","5481","232","8","20","13","10","14","17","13","16","23","14","31","11","17","9","7","0","4","3","1","1","0"
"Morges","Eclépens","5482","1,199","73","85","57","59","70","69","107","90","82","81","86","80","73","58","45","35","19","19","10","1","0"
"Morges","Ferreyres","5483","308","11","21","28","20","13","9","20","15","16","27","32","26","25","16","9","14","6","0","0","0","0"
"Morges","Gollion","5484","1,033","80","66","52","35","47","56","74","88","82","71","83","78","64","49","40","36","23","7","2","0","0"
"Morges","Grancy","5485","489","35","37","28","27","28","22","34","36","41","37","30","35","35","15","13","16","16","0","2","2","0"
"Morges","L'Isle","5486","1,095","45","60","62","72","50","50","92","67","80","65","92","82","70","51","69","41","21","13","11","2","0"
"Morges","Mauraz","5488","65","7","2","4","3","1","6","5","5","2","3","4","11","4","4","0","2","0","1","0","1","0"
"Morges","Moiry","5490","296","19","15","14","14","17","13","14","16","20","20","22","17","30","16","24","16","6","3","0","0","0"
"Morges","Mont-la-Ville","5491","502","35","29","23","39","23","14","23","39","34","30","40","53","30","30","17","22","9","10","1","1","0"
"Morges","Montricher","5492","978","45","47","46","53","58","77","56","68","78","68","79","84","51","39","48","46","16","7","10","2","0"
"Morges","Orny","5493","484","32","22","25","32","30","46","23","35","31","36","42","38","25","17","15","12","5","7","6","4","1"
"Morges","Pompaples","5497","860","40","56","71","47","43","65","51","68","72","71","73","53","33","29","33","24","13","14","3","1","0"
"Morges","La Sarraz","5498","2,608","129","144","176","157","162","162","161","160","223","223","196","199","113","129","95","77","62","31","4","4","1"
"Morges","Senarclens","5499","496","22","36","32","28","26","24","23","32","45","41","40","32","27","24","16","16","15","10","6","1","0"
"Morges","Aclens","5621","557","33","39","28","23","30","34","40","53","47","37","36","43","35","25","16","15","12","7","2","2","0"
"Morges","Bremblens","5622","604","28","31","46","37","42","23","28","42","46","60","46","45","33","28","31","13","10","8","6","1","0"
"Morges","Buchillon","5623","670","22","43","47","36","34","30","24","40","51","43","59","46","46","38","28","37","26","10","9","1","0"
"Morges","Chigny","5628","419","29","33","20","38","21","14","20","31","45","33","45","25","16","19","10","11","5","4","0","0","0"
"Morges","Clarmont","5629","213","11","13","11","15","7","12","14","19","20","21","8","15","15","9","8","4","2","5","4","0","0"
"Morges","Denens","5631","715","25","41","30","39","39","48","41","28","45","41","59","62","75","44","39","19","16","9","12","3","0"
"Morges","Denges","5632","1,778","106","74","85","110","137","141","136","130","102","147","150","141","112","64","59","40","26","10","7","1","0"
"Morges","Echandens","5633","2,891","129","115","122","256","290","180","169","144","183","187","190","180","152","130","135","134","89","70","24","12","0"
"Morges","Echichens","5634","3,211","183","205","202","156","165","151","209","223","224","237","237","237","193","147","109","98","77","83","59","15","1"
"Morges","Etoy","5636","2,938","122","115","191","203","193","168","141","155","202","255","256","290","192","93","107","92","82","44","26","10","1"
"Morges","Lavigny","5637","1,038","54","55","80","68","55","53","60","77","84","90","90","72","55","49","44","27","15","6","4","0","0"
"Morges","Lonay","5638","2,675","96","125","121","162","185","186","154","149","182","164","205","220","157","133","101","104","82","69","59","15","6"
"Morges","Lully","5639","825","43","57","57","50","63","31","47","42","58","50","67","59","65","36","37","33","18","6","5","0","1"
"Morges","Lussy-sur-Morges","5640","730","41","53","52","51","31","27","32","39","51","61","54","58","31","35","27","34","20","22","8","3","0"
"Morges","Morges","5642","17,530","967","800","723","743","926","1,532","1,733","1,404","1,164","1,167","1,154","1,102","885","636","673","745","542","374","178","75","7"
"Morges","Préverenges","5643","5,209","222","275","303","344","290","314","316","357","370","422","407","375","260","226","216","246","153","69","34","10","0"
"Morges","Romanel-sur-Morges","5645","458","26","12","19","31","27","20","37","19","22","39","40","48","38","26","19","13","13","4","4","0","1"
"Morges","Saint-Prex","5646","5,876","309","310","361","392","313","269","342","402","459","513","508","438","321","238","271","211","132","52","31","4","0"
"Morges","Tolochenaz","5649","1,890","98","98","108","115","117","110","112","140","122","155","140","157","116","87","71","63","38","25","16","1","1"
"Morges","Vaux-sur-Morges","5650","185","6","11","9","14","20","10","7","10","11","11","13","15","10","9","9","11","6","3","0","0","0"
"Morges","Villars-sous-Yens","5652","615","28","33","35","42","37","28","41","41","41","48","57","45","46","25","23","16","22","5","1","1","0"
"Morges","Vufflens-le-Château","5653","884","43","46","70","64","56","32","39","53","65","66","79","66","52","52","27","34","30","7","2","1","0"
"Morges","Vullierens","5654","562","37","30","33","22","24","31","39","48","35","37","41","49","46","24","27","20","6","10","3","0","0"
"Morges","Yens","5655","1,513","76","89","126","80","68","53","80","97","131","122","130","120","77","64","70","69","35","17","8","1","0"
"Morges","Hautemorges","5656","4,257","261","243","256","237","262","212","274","281","286","310","333","309","258","207","178","171","89","53","28","7","2"
"Morges","Allaman","5851","420","15","16","20","23","24","23","34","19","33","28","37","39","31","16","23","20","11","5","3","0","0"
"Nyon","Longirod","5429","541","26","29","31","29","33","20","28","39","34","53","44","38","34","34","32","18","9","9","0","1","0"
"Nyon","Marchissy","5430","499","27","26","28","33","27","29","28","35","31","36","43","49","29","25","23","15","6","4","4","1","0"
"Nyon","Saint-George","5434","1,069","47","63","73","76","42","46","50","51","85","94","95","91","78","47","45","39","21","13","9","4","0"
"Nyon","Arnex-sur-Nyon","5701","240","14","9","22","14","8","10","17","22","19","20","11","16","23","18","7","5","2","2","1","0","0"
"Nyon","Arzier-Le Muids","5702","2,954","148","206","172","200","142","118","157","188","225","257","274","259","188","166","89","94","47","19","4","1","0"
"Nyon","Bassins","5703","1,478","76","74","94","111","101","69","77","99","91","120","151","137","92","45","38","54","25","13","9","2","0"
"Nyon","Begnins","5704","1,938","89","102","122","121","101","77","107","119","129","173","183","144","103","95","69","83","54","40","20","6","1"
"Nyon","Bogis-Bossey","5705","923","61","49","93","71","56","34","32","53","67","69","95","66","43","44","34","29","20","2","5","0","0"
"Nyon","Borex","5706","1,131","45","72","94","67","52","49","49","73","83","100","90","94","71","50","43","49","29","11","6","3","1"
"Nyon","Chavannes-de-Bogis","5707","1,314","61","113","101","85","48","45","61","84","108","139","106","87","64","67","66","38","27","8","5","1","0"
"Nyon","Chavannes-des-Bois","5708","1,019","52","97","102","71","47","26","28","57","109","117","88","63","41","38","29","28","18","7","1","0","0"
"Nyon","Chéserex","5709","1,251","55","61","66","87","64","57","52","75","84","84","106","118","108","71","51","56","30","21","5","0","0"
"Nyon","Coinsins","5710","499","22","31","22","34","20","16","25","43","35","35","46","44","27","28","26","26","9","7","3","0","0"
"Nyon","Commugny","5711","2,983","119","197","254","265","176","97","102","122","214","256","313","235","143","115","110","126","81","33","23","2","0"
"Nyon","Coppet","5712","3,184","106","214","241","220","195","126","98","170","209","273","268","283","205","133","145","128","82","61","23","4","0"
"Nyon","Crans","5713","2,357","96","123","183","184","137","84","80","103","140","204","224","244","134","92","97","119","64","35","12","2","0"
"Nyon","Crassier","5714","1,233","74","74","82","92","75","56","72","66","79","105","135","107","58","34","44","37","28","9","5","1","0"
"Nyon","Duillier","5715","1,116","70","70","61","64","64","52","67","90","83","77","94","86","75","42","41","35","19","19","6","1","0"
"Nyon","Eysins","5716","1,768","107","113","138","110","81","67","130","122","149","179","143","112","83","51","58","65","34","22","4","0","0"
"Nyon","Founex","5717","3,763","147","266","312","301","232","138","146","195","299","344","340","292","208","140","135","117","80","48","17","6","0"
"Nyon","Genolier","5718","2,026","92","135","151","148","99","80","75","102","165","150","188","157","122","99","90","83","64","14","7","5","0"
"Nyon","Gingins","5719","1,270","48","69","86","74","86","43","63","62","75","98","117","120","77","62","67","62","34","19","6","2","0"
"Nyon","Givrins","5720","1,024","31","55","61","75","58","44","43","49","72","76","93","91","89","54","48","49","20","12","4","0","0"
"Nyon","Gland","5721","13,686","762","811","818","778","784","961","1,006","1,086","1,107","1,085","1,040","941","741","506","443","390","214","143","55","15","0"
"Nyon","Grens","5722","400","15","26","22","21","26","25","25","21","31","31","33","36","31","6","17","11","11","9","3","0","0"
"Nyon","Mies","5723","2,226","117","149","184","186","113","75","83","111","176","203","193","162","130","89","64","75","61","27","18","9","1"
"Nyon","Nyon","5724","22,461","1,298","1,245","1,146","1,091","1,101","1,553","1,882","1,868","1,860","1,660","1,551","1,552","1,147","790","848","812","544","334","143","30","6"
"Nyon","Prangins","5725","4,277","198","247","268","282","234","214","231","221","281","362","334","335","263","211","194","169","132","62","34","4","1"
"Nyon","La Rippe","5726","1,197","65","74","84","65","62","45","50","73","95","115","107","113","91","48","39","34","23","6","6","2","0"
"Nyon","Saint-Cergue","5727","2,786","144","179","137","127","119","100","165","217","261","210","242","228","194","159","120","93","50","28","10","3","0"
"Nyon","Signy-Avenex","5728","583","29","44","36","41","30","22","24","38","48","46","41","46","34","26","24","23","17","8","4","1","1"
"Nyon","Tannay","5729","1,720","67","98","146","145","104","47","62","74","113","154","156","154","99","81","65","80","49","18","7","1","0"
"Nyon","Trélex","5730","1,427","56","77","103","93","104","55","45","59","102","116","129","147","107","65","53","47","43","20","4","1","1"
"Nyon","Le Vaud","5731","1,411","83","76","83","117","88","45","68","72","109","111","122","127","96","72","61","46","22","7","5","1","0"
"Nyon","Vich","5732","1,160","58","85","82","58","69","62","80","74","89","97","95","84","67","46","51","29","20","10","2","2","0"
"Nyon","Bursinel","5852","503","18","30","44","30","29","23","29","30","39","38","43","36","28","34","14","21","10","5","1","1","0"
"Nyon","Bursins","5853","766","40","46","46","40","49","27","44","56","45","60","67","69","49","24","41","31","12","15","4","1","0"
"Nyon","Burtigny","5854","414","24","23","39","25","29","23","14","26","32","36","31","26","18","18","14","23","10","2","1","0","0"
"Nyon","Dully","5855","631","29","28","45","42","40","24","32","38","46","60","46","54","39","38","27","20","14","5","3","1","0"
"Nyon","Essertines-sur-Rolle","5856","749","43","55","52","57","29","22","52","47","70","64","62","43","45","41","26","21","12","5","3","0","0"
"Nyon","Gilly","5857","1,446","80","90","88","65","66","94","102","90","107","134","123","128","80","63","59","33","22","17","5","0","0"
"Nyon","Luins","5858","618","35","36","42","28","26","26","47","44","38","56","53","55","46","33","20","15","10","6","0","2","0"
"Nyon","Mont-sur-Rolle","5859","2,759","142","160","199","165","165","112","145","168","229","227","215","216","159","130","102","105","45","44","19","8","4"
"Nyon","Perroy","5860","1,542","76","81","105","96","93","98","98","90","106","128","133","116","82","68","63","60","39","7","3","0","0"
"Nyon","Rolle","5861","6,321","308","333","483","526","299","368","426","397","463","493","489","446","324","231","191","200","168","113","48","14","1"
"Nyon","Tartegnin","5862","249","15","12","13","29","19","6","19","16","18","20","22","14","6","12","6","11","6","4","1","0","0"
"Nyon","Vinzel","5863","378","18","25","13","25","29","12","21","24","27","25","32","34","34","19","24","7","6","2","0","1","0"
"Ouest lausannois","Crissier","5583","9,161","457","489","460","576","730","791","748","653","634","635","597","648","491","371","293","252","184","109","31","11","1"
"Ouest lausannois","Prilly","5589","12,318","620","573","595","609","789","978","1,013","940","951","846","842","812","592","468","463","438","421","240","102","22","4"
"Ouest lausannois","Renens","5591","21,116","1,029","1,025","1,053","1,262","1,757","1,893","1,743","1,519","1,383","1,438","1,396","1,403","1,165","766","707","663","412","319","140","41","2"
"Ouest lausannois","Bussigny","5624","10,392","694","602","537","525","579","874","957","834","808","728","698","663","507","405","329","314","191","101","37","9","0"
"Ouest lausannois","Chavannes-près-Renens","5627","8,725","478","444","416","681","1,200","864","734","593","648","514","478","428","325","247","223","214","133","71","28","5","1"
"Ouest lausannois","Ecublens","5635","13,129","651","622","628","961","1,423","1,075","963","878","841","820","770","815","655","516","483","428","310","162","88","32","8"
"Ouest lausannois","Saint-Sulpice","5648","5,036","238","254","225","398","514","342","354","342","384","360","301","256","218","203","175","212","138","78","34","8","2"
"Ouest lausannois","Villars-Sainte-Croix","5651","978","43","58","45","57","60","50","47","60","79","81","93","64","70","50","44","45","16","11","5","0","0"
"Riviera-Pays-d'Enhaut","Château-d'Oex","5841","3,568","170","193","198","157","170","187","198","228","196","229","241","283","261","203","214","184","119","79","46","8","4"
"Riviera-Pays-d'Enhaut","Rossinière","5842","534","20","36","34","27","27","29","35","19","34","38","36","43","40","39","18","24","23","9","1","2","0"
"Riviera-Pays-d'Enhaut","Rougemont","5843","826","33","42","31","37","43","35","35","55","44","48","55","70","64","53","53","59","30","18","16","5","0"
"Riviera-Pays-d'Enhaut","Chardonne","5882","3,192","167","134","143","120","154","175","204","204","188","235","253","269","248","194","152","130","97","65","48","11","1"
"Riviera-Pays-d'Enhaut","Corseaux","5883","2,307","111","104","99","94","97","87","148","158","164","152","157","172","148","138","139","132","105","60","33","8","1"
"Riviera-Pays-d'Enhaut","Corsier-sur-Vevey","5884","3,366","160","167","165","159","166","212","243","246","243","222","243","253","220","167","159","140","101","62","34","4","0"
"Riviera-Pays-d'Enhaut","Jongny","5885","1,842","98","114","98","87","100","115","120","147","143","112","145","128","97","89","84","88","42","25","8","2","0"
"Riviera-Pays-d'Enhaut","Montreux","5886","26,081","1,155","1,167","1,223","1,587","1,756","1,565","1,764","1,716","1,711","1,693","1,782","1,879","1,622","1,242","1,218","1,112","906","541","322","98","22"
"Riviera-Pays-d'Enhaut","La Tour-de-Peilz","5889","12,400","601","637","656","674","708","658","823","811","836","857","934","927","722","555","556","595","408","308","104","29","1"
"Riviera-Pays-d'Enhaut","Vevey","5890","19,743","1,011","966","918","905","1,097","1,724","1,839","1,619","1,516","1,379","1,398","1,305","1,057","793","676","630","454","282","132","36","6"
"Riviera-Pays-d'Enhaut","Veytaux","5891","970","50","47","38","40","42","70","81","64","69","64","75","74","71","49","45","32","23","26","9","1","0"
"Riviera-Pays-d'Enhaut","Blonay - Saint-Légier","5892","12,123","496","635","776","863","732","499","584","633","782","844","1,048","1,085","780","547","566","520","354","225","109","38","7"

© STATISTIQUE VAUD
