community_name,inhabitants,area_km2,inhabitants_per_km2,district_until_2007,district_from_2008,image_links,criteria1,criteria2,criteria3,score
Mutrux,151,323,47,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Mutrux-coat_of_arms.svg/35px-Mutrux-coat_of_arms.svg.png,0.0,84.65909090909089,0.0,16.93181818181818
Assens,1672,534,313,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Blason_commune_CH_Assens_%28Vaud%29.svg/35px-Blason_commune_CH_Assens_%28Vaud%29.svg.png,0.0,84.25324675324674,0.0,16.85064935064935
Burtigny,414,568,73,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Burtigny-coat_of_arms.svg/35px-Burtigny-coat_of_arms.svg.png,0.0,79.54545454545455,0.0,15.90909090909091
Valeyres-sous-Rances,606,634,96,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Valeyres-sous-Rances-coat_of_arms.svg/35px-Valeyres-sous-Rances-coat_of_arms.svg.png,0.0,78.97727272727273,0.0,15.795454545454547
Allaman,424,260,163,Rolle,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/CHE_Allaman_COA.svg/35px-CHE_Allaman_COA.svg.png,0.0,63.149350649350644,0.0,12.62987012987013
Valeyres-sous-Ursins,241,287,84,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Valeyres-sous-Ursins-coat_of_arms.svg/35px-Valeyres-sous-Ursins-coat_of_arms.svg.png,0.0,63.06818181818181,0.0,12.613636363636363
Montanaire,2819,3350,84,Moudon Yverdon,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Blason_commune_CH_Montanaire_%28Vaud%29.svg/35px-Blason_commune_CH_Montanaire_%28Vaud%29.svg.png,0.0,60.3896103896104,0.0,12.07792207792208
Longirod,538,945,57,Aubonne,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Longirod-coat_of_arms.svg/35px-Longirod-coat_of_arms.svg.png,0.0,55.032467532467535,0.0,11.006493506493507
Pompaples,858,444,193,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Pompaples-coat_of_arms.svg/35px-Pompaples-coat_of_arms.svg.png,0.0,50.08116883116883,0.0,10.016233766233768
Rolle,6322,274,2307,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/CHE_Rolle_COA.svg/35px-CHE_Rolle_COA.svg.png,0.0,47.40259740259741,0.0,9.480519480519481
Oppens,203,360,56,Yverdon,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/CHE_Oppens_COA.svg/35px-CHE_Oppens_COA.svg.png,0.0,46.75324675324675,0.0,9.35064935064935
Vuarrens,1107,897,123,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Vuarrens-coat_of_arms.svg/35px-Vuarrens-coat_of_arms.svg.png,0.0,46.42857142857143,0.0,9.285714285714286
Yverdon-les-Bains,29827,1354,2203,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/CHE_Yverdon-les-Bains_VD_COA.svg/35px-CHE_Yverdon-les-Bains_VD_COA.svg.png,0.0,45.51495016611295,0.0,9.102990033222591
Villars-le-Comte,138,420,33,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/GX-VD-Villars-le-Comte.png/35px-GX-VD-Villars-le-Comte.png,0.0,44.68641114982579,0.0,8.937282229965158
Pomy,864,562,154,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Pomy-coat_of_arms.svg/35px-Pomy-coat_of_arms.svg.png,0.0,44.15584415584416,0.0,8.831168831168831
Prilly,12294,220,5588,Lausanne,Ouest lausannois,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Prilly-coat_of_arms.svg/35px-Prilly-coat_of_arms.svg.png,0.0,44.07467532467532,0.0,8.814935064935064
Moudon,6124,1565,391,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Moudon-coat_of_arms.svg/35px-Moudon-coat_of_arms.svg.png,0.0,43.36734693877551,0.0,8.673469387755103
Mont-sur-Rolle,2767,386,717,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Mont-sur-Rolle-coat_of_arms.svg/35px-Mont-sur-Rolle-coat_of_arms.svg.png,0.0,41.23376623376623,0.0,8.246753246753247
Ogens,324,340,95,Moudon,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Ogens-coat_of_arms.svg/35px-Ogens-coat_of_arms.svg.png,0.0,38.31168831168831,0.0,7.662337662337662
Echallens,5812,666,873,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/%C3%89challens-coat_of_arms.svg/35px-%C3%89challens-coat_of_arms.svg.png,0.0,37.90584415584416,0.0,7.5811688311688314
Bourg-en-Lavaux,5386,965,558,Lavaux,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Riex-coat_of_arms.svg/35px-Riex-coat_of_arms.svg.png,0.0,36.201298701298704,0.0,7.2402597402597415
Fey,737,734,100,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Wappen_Fey.jpg/35px-Wappen_Fey.jpg,0.0,35.989010989010985,0.0,7.197802197802197
Suscévaz,219,416,53,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Susc%C3%A9vaz-coat_of_arms.svg/35px-Susc%C3%A9vaz-coat_of_arms.svg.png,0.0,34.33441558441558,0.0,6.866883116883116
Tartegnin,249,109,228,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Tartegnin-coat_of_arms.svg/35px-Tartegnin-coat_of_arms.svg.png,0.0,33.603896103896105,0.0,6.720779220779221
Rossenges,92,108,85,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Blason_commune_CH_Rossenges_%28Vaud%29.svg/35px-Blason_commune_CH_Rossenges_%28Vaud%29.svg.png,0.0,33.03571428571429,0.0,6.6071428571428585
Marchissy,499,1198,42,Aubonne,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Marchissy-coat_of_arms.svg/35px-Marchissy-coat_of_arms.svg.png,0.0,31.574675324675322,0.0,6.314935064935065
Syens,163,252,65,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/CHE_Syens_COA.svg/35px-CHE_Syens_COA.svg.png,0.0,31.478405315614623,0.0,6.295681063122925
Essertines-sur-Rolle,743,695,107,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Essertines-sur-Rolle-coat_of_arms.svg/35px-Essertines-sur-Rolle-coat_of_arms.svg.png,0.0,31.25,0.0,6.25
Chardonne,3186,1034,308,Vevey,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Chardonne-coat_of_arms.svg/35px-Chardonne-coat_of_arms.svg.png,0.0,31.006493506493506,0.0,6.201298701298701
Yvonand,3529,1340,263,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Yvonand-coat_of_arms.svg/35px-Yvonand-coat_of_arms.svg.png,0.0,30.438311688311693,0.0,6.087662337662339
Savigny,3418,1601,213,Lavaux,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Savigny-coat_of_arms.svg/35px-Savigny-coat_of_arms.svg.png,0.0,26.461038961038962,0.0,5.292207792207793
Faoug,907,348,261,Avenches,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Faoug-coat_of_arms.svg/35px-Faoug-coat_of_arms.svg.png,0.0,26.2987012987013,0.0,5.25974025974026
Bière,1674,2506,67,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Biere-coat_of_arms.svg/35px-Biere-coat_of_arms.svg.png,0.0,25.730519480519483,0.0,5.146103896103897
Hermenches,371,477,78,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Hermenches.jpg/35px-Hermenches.jpg,0.0,25.549450549450547,0.0,5.1098901098901095
Premier,236,612,39,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Premier-coat_of_arms.svg/35px-Premier-coat_of_arms.svg.png,0.0,25.40584415584416,0.0,5.081168831168832
Ependes (VD),372,481,77,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Ependes-coat_of_arms.svg/35px-Ependes-coat_of_arms.svg.png,0.0,20.941558441558442,0.0,4.188311688311688
Pully,18984,586,3240,Lausanne,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/CHE_Pully_COA.svg/35px-CHE_Pully_COA.svg.png,0.0,20.833333333333332,0.0,4.166666666666667
La Praz,183,512,36,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/La_Praz-coat_of_arms.svg/35px-La_Praz-coat_of_arms.svg.png,0.0,20.048701298701296,0.0,4.009740259740259
Corcelles-près-Payerne,2844,1212,235,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Blason_commune_CH_Corcelles-pr%C3%A8s-Payerne_%28Vaud%29.svg/35px-Blason_commune_CH_Corcelles-pr%C3%A8s-Payerne_%28Vaud%29.svg.png,0.0,19.886363636363637,0.0,3.9772727272727275
Vully-les-Lacs,3528,2092,169,Avenches,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/CHE_Vully-les-Lacs_COA.svg/35px-CHE_Vully-les-Lacs_COA.svg.png,0.0,19.603174603174605,0.0,3.920634920634921
Treycovagnes,521,208,250,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Treycovagnes-coat_of_arms.svg/35px-Treycovagnes-coat_of_arms.svg.png,0.0,19.399350649350648,0.0,3.8798701298701297
Rances,521,983,53,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Rances-coat_of_arms.svg/35px-Rances-coat_of_arms.svg.png,0.0,19.155844155844154,0.0,3.831168831168831
Vucherens,635,328,194,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Vucherens_ch.png/35px-Vucherens_ch.png,0.0,15.934065934065933,0.0,3.1868131868131866
Grancy,489,567,86,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/CHE_Grancy_COA.svg/35px-CHE_Grancy_COA.svg.png,0.0,14.123376623376622,0.0,2.8246753246753245
Tévenon,867,1428,61,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/T%C3%A9venon-coat_of_arms.svg/35px-T%C3%A9venon-coat_of_arms.svg.png,0.0,13.96103896103896,0.0,2.792207792207792
Eclépens,1198,580,207,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Eclepens-coat_of_arms.svg/35px-Eclepens-coat_of_arms.svg.png,0.0,13.14935064935065,0.0,2.62987012987013
Berolle,301,961,31,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Berolle-coat_of_arms.svg/35px-Berolle-coat_of_arms.svg.png,0.0,12.905844155844157,0.0,2.5811688311688314
Rougemont,829,4854,17,Pays-d’Enhaut,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/CHE_Rougemont_COA.svg/35px-CHE_Rougemont_COA.svg.png,0.0,9.136212624584719,0.0,1.8272425249169437
Rovray,194,320,61,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Rovray-coat_of_arms.svg/35px-Rovray-coat_of_arms.svg.png,0.0,8.522727272727272,0.0,1.7045454545454544
Rossinière,532,2336,23,Pays-d’Enhaut,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/CHE_Rossini%C3%A8re_COA.svg/35px-CHE_Rossini%C3%A8re_COA.svg.png,0.0,7.724252491694353,0.0,1.5448504983388707
Féchy,888,270,329,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Fechy-coat_of_arms.svg/35px-Fechy-coat_of_arms.svg.png,0.0,6.25,0.0,1.25
Goumoëns,1171,1069,110,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/CHE_Goumo%C3%ABns_COA.svg/35px-CHE_Goumo%C3%ABns_COA.svg.png,0.0,5.438311688311689,0.0,1.0876623376623378
Rueyres,303,200,152,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Rueyres-coat_of_arms.svg/35px-Rueyres-coat_of_arms.svg.png,0.0,4.870129870129871,0.0,0.9740259740259742
Grandson,3360,785,428,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/CHE_Grandson_COA.svg/35px-CHE_Grandson_COA.svg.png,0.0,3.571428571428571,0.0,0.7142857142857143
Vevey,19738,240,8224,Vevey,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/CHE_Vevey_COA.svg/35px-CHE_Vevey_COA.svg.png,0.0,3.3279220779220777,0.0,0.6655844155844156
Chavannes-près-Renens,8737,165,5295,Morges,Ouest lausannois,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Chavannes-pres-Renens-coat_of_arms.svg/35px-Chavannes-pres-Renens-coat_of_arms.svg.png,0.0,3.3279220779220777,0.0,0.6655844155844156
Giez,448,476,94,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/CHE_Giez_COA.svg/35px-CHE_Giez_COA.svg.png,0.0,2.922077922077922,0.0,0.5844155844155844
Montpreveyres,661,412,160,Oron,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Montpreveyres-coat_of_arms.svg/35px-Montpreveyres-coat_of_arms.svg.png,0.0,2.922077922077922,0.0,0.5844155844155844
Vaulion,483,1315,37,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Vaulion-coat_of_arms.svg/35px-Vaulion-coat_of_arms.svg.png,0.0,2.8409090909090913,0.0,0.5681818181818182
Boulens,382,342,112,Moudon,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/CHE_Boulens_COA.svg/35px-CHE_Boulens_COA.svg.png,0.0,2.3255813953488373,0.0,0.4651162790697675
Ropraz,527,481,110,Oron,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Ropraz.jpg/35px-Ropraz.jpg,0.0,2.1978021978021975,0.0,0.43956043956043955
Champagne,1073,392,274,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/CHE_Champagne_COA.svg/35px-CHE_Champagne_COA.svg.png,0.0,1.7857142857142856,0.0,0.35714285714285715
Concise,1004,1137,88,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/CHE-Concise-COA.svg/35px-CHE-Concise-COA.svg.png,0.0,1.6611295681063125,0.0,0.3322259136212625
Corseaux,2303,107,2152,Vevey,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/CHE_Corseaux_COA.svg/35px-CHE_Corseaux_COA.svg.png,0.0,1.6233766233766231,0.0,0.3246753246753247
Penthalaz,3209,387,829,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/CHE_Penthalaz_COA.svg/35px-CHE_Penthalaz_COA.svg.png,0.0,1.461038961038961,0.0,0.2922077922077922
Bournens,511,391,131,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/CHE_Bournens_COA.svg/35px-CHE_Bournens_COA.svg.png,0.0,1.1627906976744187,0.0,0.23255813953488375
Vallorbe,3958,2319,171,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Vallorbe_COA.svg/35px-CHE_Vallorbe_COA.svg.png,0.0,0.8928571428571428,0.0,0.17857142857142858
Molondin,259,549,47,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Molondin-coat_of_arms.svg/35px-Molondin-coat_of_arms.svg.png,0.0,0.8116883116883116,0.0,0.16233766233766234
Orges,406,402,101,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Orges-coat_of_arms.svg/35px-Orges-coat_of_arms.svg.png,0.0,0.8116883116883116,0.0,0.16233766233766234
Perroy,1547,291,532,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/CHE_Perroy_COA.svg/35px-CHE_Perroy_COA.svg.png,0.0,0.7475083056478405,0.0,0.14950166112956811
Rivaz,332,31,1071,Lavaux,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/CHE_Rivaz_COA.svg/35px-CHE_Rivaz_COA.svg.png,0.0,0.7305194805194805,0.0,0.1461038961038961
Le Lieu,886,3254,27,La Vallée,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/CHE_Le_Lieu_COA.svg/35px-CHE_Le_Lieu_COA.svg.png,0.0,0.6493506493506493,0.0,0.12987012987012989
Villars-le-Terroir,1307,709,184,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Villars-le-Terroir-coat_of_arms.svg/35px-Villars-le-Terroir-coat_of_arms.svg.png,0.0,0.5681818181818182,0.0,0.11363636363636365
Chavornay,5395,1928,280,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Chavornay-coat_of_arms.svg/35px-Chavornay-coat_of_arms.svg.png,0.0,0.487012987012987,0.0,0.09740259740259741
Montreux,26230,3341,785,Vevey,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Montreux_COA.svg/35px-CHE_Montreux_COA.svg.png,0.0,0.4058441558441558,0.0,0.08116883116883117
Ballaigues,1153,906,127,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Ballaigues-coat_of_arms.svg/35px-Ballaigues-coat_of_arms.svg.png,0.0,0.4058441558441558,0.0,0.08116883116883117
Valeyres-sous-Montagny,703,228,308,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Valeyres-sous-Montagny-coat_of_arms.svg/35px-Valeyres-sous-Montagny-coat_of_arms.svg.png,0.0,0.4058441558441558,0.0,0.08116883116883117
Chexbres,2202,215,1024,Lavaux,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/CHE_Chexbres_COA.svg/35px-CHE_Chexbres_COA.svg.png,0.0,0.3246753246753247,0.0,0.06493506493506494
Cuarnens,545,713,76,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Cuarnens-coat_of_arms.svg/35px-Cuarnens-coat_of_arms.svg.png,0.0,0.3246753246753247,0.0,0.06493506493506494
Avenches,4685,1947,241,Avenches,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/CHE_Avenches_COA.svg/35px-CHE_Avenches_COA.svg.png,0.0,0.2435064935064935,0.0,0.048701298701298704
Novalles,99,206,48,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Novalles-coat_of_arms.svg/35px-Novalles-coat_of_arms.svg.png,0.0,0.2435064935064935,0.0,0.048701298701298704
Sullens,1168,391,299,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Sullens-coat_of_arms.svg/35px-Sullens-coat_of_arms.svg.png,0.0,0.2435064935064935,0.0,0.048701298701298704
Ferreyres,308,316,97,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ferreyres-coat_of_arms.svg/35px-Ferreyres-coat_of_arms.svg.png,0.0,0.2435064935064935,0.0,0.048701298701298704
Vufflens-la-Ville,1337,538,249,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Vuflens-la-Ville-coat_of_arms.svg/35px-Vuflens-la-Ville-coat_of_arms.svg.png,0.0,0.16233766233766234,0.0,0.03246753246753247
Donneloye,905,901,100,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Donneloye-coat_of_arms.svg/35px-Donneloye-coat_of_arms.svg.png,0.0,0.16233766233766234,0.0,0.03246753246753247
Vinzel,379,110,345,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Vinzel-coat_of_arms.svg/35px-Vinzel-coat_of_arms.svg.png,0.0,0.16233766233766234,0.0,0.03246753246753247
Senarclens,495,397,125,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Senarclens-coat_of_arms.svg/35px-Senarclens-coat_of_arms.svg.png,0.0,0.16233766233766234,0.0,0.03246753246753247
Chavannes-sur-Moudon,218,515,42,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/CHE_Chavannes-sur-Moudon_COA.svg/35px-CHE_Chavannes-sur-Moudon_COA.svg.png,0.0,0.08305647840531562,0.0,0.016611295681063124
Curtilles,290,496,58,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Curtilles-coat_of_arms.svg/35px-Curtilles-coat_of_arms.svg.png,0.0,0.08116883116883117,0.0,0.016233766233766236
Mont-la-Ville,502,1979,25,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Mont-la-Ville-coat_of_arms.svg/35px-Mont-la-Ville-coat_of_arms.svg.png,0.0,0.08116883116883117,0.0,0.016233766233766236
Penthaz,1923,384,501,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Penthaz-coat_of_arms.svg/35px-Penthaz-coat_of_arms.svg.png,0.0,0.08116883116883117,0.0,0.016233766233766236
L’Isle,1093,1622,67,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/L_Isle-coat_of_arms.svg/35px-L_Isle-coat_of_arms.svg.png,0.0,0.08116883116883117,0.0,0.016233766233766236
Froideville,2722,708,384,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Froideville-coat_of_arms.svg/35px-Froideville-coat_of_arms.svg.png,0.0,0.08116883116883117,0.0,0.016233766233766236
