community_name,inhabitants,area_km2,inhabitants_per_km2,district_until_2007,district_from_2008,image_links,criteria1,criteria2,criteria3,score
Bussy-sur-Moudon,246,312,79,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Bussy-sur-Moudon-coat_of_arms.svg/35px-Bussy-sur-Moudon-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Renens (VD),21086,295,7148,Lausanne,Ouest lausannois,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Renens-coat_of_arms.svg/35px-Renens-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Bussigny,10365,481,2155,Morges,Ouest lausannois,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Bussigny-pres-Lausanne-coat_of_arms.svg/35px-Bussigny-pres-Lausanne-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Belmont-sur-Lausanne,3837,265,1448,Lausanne,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Belmont-sur-Lausanne-coat_of_arms.svg/35px-Belmont-sur-Lausanne-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Puidoux,2992,2286,131,Lavaux,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/CHE_Puidoux_COA.svg/35px-CHE_Puidoux_COA.svg.png,0.0,0.0,0.0,0.0
Aubonne,3791,938,404,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/CHE_Aubonne_COA.svg/35px-CHE_Aubonne_COA.svg.png,0.0,0.0,0.0,0.0
Chevroux,519,340,153,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Chevroux-coat_of_arm.svg/35px-Chevroux-coat_of_arm.svg.png,0.0,0.0,0.0,0.0
Bavois,1010,935,108,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/CHE_Bavois_COA.svg/35px-CHE_Bavois_COA.svg.png,0.0,0.0,0.0,0.0
Vulliens,633,663,95,Oron,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Vulliens-coat_of_arms.svg/35px-Vulliens-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Vuiteboeuf,592,506,117,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Vuiteboeuf-coat_of_arms.svg/35px-Vuiteboeuf-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Chavannes-le-Veyron,163,264,62,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Chavannes-le-Veyron-coat_of_arms.svg/35px-Chavannes-le-Veyron-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Villarzel,487,766,64,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/GW-VD-Villarzel.png/35px-GW-VD-Villarzel.png,0.0,0.0,0.0,0.0
Arnex-sur-Orbe,691,762,91,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/CHE_Arnex-sur-Orbe_COA.svg/35px-CHE_Arnex-sur-Orbe_COA.svg.png,0.0,0.0,0.0,0.0
Villars-Sainte-Croix,982,165,595,Morges,Ouest lausannois,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Villars-Sainte-Croix-coat_of_arms.svg/35px-Villars-Sainte-Croix-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Veytaux,975,677,144,Vevey,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Veytaux-coat_of_arms.svg/35px-Veytaux-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Valbroye,3362,3355,100,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/CHE_Valbroye_COA.svg/35px-CHE_Valbroye_COA.svg.png,0.0,0.0,0.0,0.0
Ursins,231,336,69,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ursins-coat_of_arms.svg/35px-Ursins-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Treytorrens (Payerne),105,307,34,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Blason_commune_CH_Treytorrens_%28Vaud%29.svg/35px-Blason_commune_CH_Treytorrens_%28Vaud%29.svg.png,0.0,0.0,0.0,0.0
Trey,300,379,79,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Trey-coat_of_arms.svg/35px-Trey-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Champvent,727,903,81,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/CHE_Champvent_COA.svg/35px-CHE_Champvent_COA.svg.png,0.0,0.0,0.0,0.0
Suchy,671,664,101,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/CHE_Suchy_COA.svg/35px-CHE_Suchy_COA.svg.png,0.0,0.0,0.0,0.0
Servion,2138,632,338,Oron,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Les_Cullayes-coat_of_arms.svg/35px-Les_Cullayes-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Sergey,140,146,96,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Sergey_COA.svg/35px-CHE_Sergey_COA.svg.png,0.0,0.0,0.0,0.0
Saubraz,448,371,121,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Saubraz-coat_of_arms.svg/35px-Saubraz-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Champtauroz,169,305,55,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Champtauroz-coat_of_arms.svg/35px-Champtauroz-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Ballens,589,845,70,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/CHE_Ballens_COA.svg/35px-CHE_Ballens_COA.svg.png,0.0,0.0,0.0,0.0
Chamblon,567,286,198,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Chamblon-coat_of_arms.svg/35px-Chamblon-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Baulmes,1135,2250,50,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/CHE_Baulmes_COA.svg/35px-CHE_Baulmes_COA.svg.png,0.0,0.0,0.0,0.0
Chevilly,331,389,85,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Chevilly-coat_of_arms.svg/35px-Chevilly-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Provence,403,3186,13,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/CHE_Provence_COA.svg/35px-CHE_Provence_COA.svg.png,0.0,0.0,0.0,0.0
Bursins,766,337,227,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Bursins-coat_of_arms.svg/35px-Bursins-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Prévonloup,220,184,120,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Pr%C3%A9vonloup.svg/35px-Pr%C3%A9vonloup.svg.png,0.0,0.0,0.0,0.0
Jongny,1842,216,853,Vevey,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/CHE_Jongny_COA.svg/35px-CHE_Jongny_COA.svg.png,0.0,0.0,0.0,0.0
Bretigny-sur-Morrens,877,287,306,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Bretigny-sur-Morrens.png/35px-Bretigny-sur-Morrens.png,0.0,0.0,0.0,0.0
Grandcour,1000,1020,98,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Grandcour-coat_of_arms.svg/35px-Grandcour-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Grandevent,237,344,69,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/CHE_Grandevent_COA.svg/35px-CHE_Grandevent_COA.svg.png,0.0,0.0,0.0,0.0
Cronay,410,658,62,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Cronay-coat_of_arms.svg/35px-Cronay-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Crissier,9181,550,1669,Lausanne,Ouest lausannois,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Crissier-coat_of_arms.svg/35px-Crissier-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Hautemorges,4256,3295,129,Cossonay Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/CHE_Hautemorges_COA.svg/35px-CHE_Hautemorges_COA.svg.png,0.0,0.0,0.0,0.0
Henniez,412,261,158,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Blason_commune_CH_Henniez_%28Vaud%29.svg/35px-Blason_commune_CH_Henniez_%28Vaud%29.svg.png,0.0,0.0,0.0,0.0
Boussens,1006,316,318,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Boussens-coat_of_arms.svg/35px-Boussens-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Cossonay,4386,828,530,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/CHE_Cossonay_COA.svg/35px-CHE_Cossonay_COA.svg.png,0.0,0.0,0.0,0.0
Juriens,347,935,37,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Juriens-coat_of_arms.svg/35px-Juriens-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
L’Abbaye,1534,3188,48,La Vallée,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/CHE_L%E2%80%99Abbaye_COA.svg/35px-CHE_L%E2%80%99Abbaye_COA.svg.png,0.0,0.0,0.0,0.0
L’Abergement,260,579,45,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/L-Abergement-blazono.png/35px-L-Abergement-blazono.png,0.0,0.0,0.0,0.0
La Chaux (Cossonay),413,674,61,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/La_Chaux-coat_of_arms.svg/35px-La_Chaux-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
La Sarraz,2607,770,339,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/CHE_La_Sarraz_COA.svg/35px-CHE_La_Sarraz_COA.svg.png,0.0,0.0,0.0,0.0
La Tour-de-Peilz,12382,326,3798,Vevey,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/La_Tour-de-Peilz-coat_of_arms.svg/35px-La_Tour-de-Peilz-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Agiez,379,546,69,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/CHE_Agiez_COA.svg/35px-CHE_Agiez_COA.svg.png,0.0,0.0,0.0,0.0
Bretonnières,264,545,48,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Bretonnieres-coat_of_arms.svg/35px-Bretonnieres-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Croy,386,448,86,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/CHE_Croy_COA.svg/35px-CHE_Croy_COA.svg.png,0.0,0.0,0.0,0.0
Gimel,2418,1888,128,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Gimel-coat_of_arms.svg/35px-Gimel-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Gilly,1446,776,186,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Gilly-coat_of_arms.svg/35px-Gilly-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Dizy,232,304,76,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/CHE_Dizy_COA.svg/35px-CHE_Dizy_COA.svg.png,0.0,0.0,0.0,0.0
Dompierre (VD),248,321,77,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/CHE_Dompierre_VD_COA.svg/35px-CHE_Dompierre_VD_COA.svg.png,0.0,0.0,0.0,0.0
Daillens,1057,552,191,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Daillens-coat_of_arms.svg/35px-Daillens-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Dully,626,165,379,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Dully-coat_of_arms.svg/35px-Dully-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Cugy (VD),2696,291,926,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Cugy-VD-coat_of_arms.svg/35px-Cugy-VD-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Ecublens (VD),13118,572,2293,Morges,Ouest lausannois,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/CHE_Ecublens_VD_COA.svg/35px-CHE_Ecublens_VD_COA.svg.png,0.0,0.0,0.0,0.0
Cudrefin,1875,1550,121,Avenches,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Blason_commune_CH_Cudrefin_%28Vaud%29.svg/35px-Blason_commune_CH_Cudrefin_%28Vaud%29.svg.png,0.0,0.0,0.0,0.0
Essertines-sur-Yverdon,1081,975,111,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Essertines-sur-Yverdon-coat_of_arms.svg/35px-Essertines-sur-Yverdon-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Etagnières,1147,378,303,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/CHE_%C3%89tagni%C3%A8res_COA.svg/35px-CHE_%C3%89tagni%C3%A8res_COA.svg.png,0.0,0.0,0.0,0.0
Bursinel,504,178,283,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Bursinel-coat_of_arms.svg/35px-Bursinel-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Bullet,656,1682,39,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bullet-coat_of_arms.svg/35px-Bullet-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Fiez,437,683,64,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Fiez-coat_of_arms.svg/35px-Fiez-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Fontaines-sur-Grandson,214,786,27,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/CHE_Fontaines-sur-Grandson_COA.svg/35px-CHE_Fontaines-sur-Grandson_COA.svg.png,0.0,0.0,0.0,0.0
Forel (Lavaux),2064,1851,112,Lavaux,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Forel-coat_of_arms.svg/35px-Forel-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Cuarny,237,456,52,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Cuarny-coat_of_arms.svg/35px-Cuarny-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Le Chenit,4603,9919,46,La Vallée,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/CHE_Le_Chenit_COA.svg/35px-CHE_Le_Chenit_COA.svg.png,0.0,0.0,0.0,0.0
Les Clées,186,704,26,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/CHE_Les_Cl%C3%A9es_COA.svg/35px-CHE_Les_Cl%C3%A9es_COA.svg.png,0.0,0.0,0.0,0.0
Belmont-sur-Yverdon,435,646,67,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/CHE_Belmont-sur-Yverdon_COA.svg/35px-CHE_Belmont-sur-Yverdon_COA.svg.png,0.0,0.0,0.0,0.0
Bercher,1359,427,318,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Armoiries_bercher.svg/35px-Armoiries_bercher.svg.png,0.0,0.0,0.0,0.0
Montilliez,1894,1186,160,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Montilliez-coat_of_arms.svg/35px-Montilliez-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Montricher,979,2602,38,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Montricher-coat_of_arms.svg/35px-Montricher-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Morrens (VD),1172,367,319,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Morrens-coat_of_arms.svg/35px-Morrens-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Démoret,167,428,39,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/D%C3%A9moret-coat_of_arms.svg/35px-D%C3%A9moret-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Bettens,650,374,174,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Blason_commune_CH_Bettens_%28Vaud%29.svg/35px-Blason_commune_CH_Bettens_%28Vaud%29.svg.png,0.0,0.0,0.0,0.0
Onnens (VD),495,514,96,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/CHE_Onnens_COA.svg/35px-CHE_Onnens_COA.svg.png,0.0,0.0,0.0,0.0
Orbe,7613,1205,632,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Orbe-coat_of_arms.svg/35px-Orbe-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Orny,486,555,88,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Orny-coat_of_arms.svg/35px-Orny-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Corsier-sur-Vevey,3362,674,499,Vevey,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/CHE_Corsier-sur-Vevey_COA.svg/35px-CHE_Corsier-sur-Vevey_COA.svg.png,0.0,0.0,0.0,0.0
Oron,6114,2462,248,Oron,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Oron-coat_of_arms.svg/35px-Oron-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Orzens,208,420,50,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/CHE_Orzens_COA.svg/35px-CHE_Orzens_COA.svg.png,0.0,0.0,0.0,0.0
Oulens-sous-Echallens,606,587,103,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Oulens-sous-%C3%89challens-coat_of_arms.svg/35px-Oulens-sous-%C3%89challens-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Pailly,566,577,98,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Pailly-coat_of_arms.svg/35px-Pailly-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Paudex,1550,49,3163,Lausanne,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Paudex-coat_of_arms.svg/35px-Paudex-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Payerne,10342,2418,428,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/CHE_Payerne_VD_COA.svg/35px-CHE_Payerne_VD_COA.svg.png,0.0,0.0,0.0,0.0
Penthéréaz,431,568,76,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Penth%C3%A9r%C3%A9az-coat_of_arms.svg/35px-Penth%C3%A9r%C3%A9az-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Montcherand,496,307,162,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/CHE_Montcherand_COA.svg/35px-CHE_Montcherand_COA.svg.png,0.0,0.0,0.0,0.0
Montagny-près-Yverdon,772,352,219,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Montagny-pres-Yverdon-coat_of_arms.svg/35px-Montagny-pres-Yverdon-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Mollens (VD),324,1099,29,Aubonne,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Mollens-coat_of_arms.svg/35px-Mollens-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Moiry,297,666,45,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Moiry-coat_of_arms.svg/35px-Moiry-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Bottens,1351,688,196,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Blason_commune_CH_Bottens_%28Vaud%29.svg/35px-Blason_commune_CH_Bottens_%28Vaud%29.svg.png,0.0,0.0,0.0,0.0
Lignerolle,447,1064,42,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Lignerolle-coat_of_arms.svg/35px-Lignerolle-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Lovatens,143,347,41,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/CHE_Lovatens_COA.svg/35px-CHE_Lovatens_COA.svg.png,0.0,0.0,0.0,0.0
Lucens,4414,1928,229,Moudon,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/CHE_Lucens_COA.svg/35px-CHE_Lucens_COA.svg.png,0.0,0.0,0.0,0.0
Luins,614,267,230,Rolle,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Luins-coat_of_arms.svg/35px-Luins-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Bonvillars,502,752,67,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Bonvillars_COA.svg/35px-CHE_Bonvillars_COA.svg.png,0.0,0.0,0.0,0.0
Corcelles-près-Concise,413,406,102,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Corcelles-pres-Concise-coat_of_arms.svg/35px-Corcelles-pres-Concise-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Lutry,10718,846,1267,Lavaux,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/CHE_Lutry_COA.svg/35px-CHE_Lutry_COA.svg.png,0.0,0.0,0.0,0.0
Maracon,546,438,125,Oron,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Maracon-coat_of_arms.svg/35px-Maracon-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Mathod,684,659,104,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Mathod-coat_of_arms.svg/35px-Mathod-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Mauborget,139,552,25,Grandson,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Mauborget-coat_of_arms.svg/35px-Mauborget-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Mauraz,65,50,130,Cossonay,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Mauraz-coat_of_arms.svg/35px-Mauraz-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Mex (VD),818,283,289,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/CHE_Mex_VD_COA.svg/35px-CHE_Mex_VD_COA.svg.png,0.0,0.0,0.0,0.0
Corcelles-le-Jorat,483,794,61,Oron,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Corcelles-le-Jorat-coat_of_arms.svg/35px-Corcelles-le-Jorat-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Missy,387,311,124,Payerne,Broye-Vully,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Missy-coat_of_arms.svg/35px-Missy-coat_of_arms.svg.png,0.0,0.0,0.0,0.0
Bofflens,203,421,48,Orbe,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/CHE_Bofflens_COA.svg/35px-CHE_Bofflens_COA.svg.png,0.0,0.0,0.0,0.0
